cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
E7.14.907	E7	Hypoblast	TE	TE	0.999551062920353	15.8785974416445	4.84645080566406	2.60401916503906
E7.14.909	E7	TE	TE	TE	0.999688722225588	15.8940004045653	5.21983432769775	2.78574800491333
E7.14.910	E7	TE	TE	TE	0.999133379769327	15.5021594708329	6.08312511444092	1.90344274044037
E7.14.911	E7	TE	TE	TE	0.999999903554347	15.5624795920856	5.34181785583496	2.02956438064575
E7.14.912	E7	TE	TE	TE	0.536443356388287	15.0871816850112	5.83492851257324	1.10646784305573
E7.14.913	E7	TE	TE	TE	0.992943551933852	15.8039381661567	5.23183727264404	2.8746771812439
E7.14.914	E7	TE	TE	TE	0.999815356846875	15.9524690407448	5.12331914901733	2.82925057411194
E7.15.1078	E7	TE	TE	TE	0.993101483316768	14.2397139000467	7.05436706542969	-0.354248195886612
E7.15.1079	E7	TE	TE	TE	0.990722317625425	14.3330416764402	7.38653039932251	-0.0490733683109283
E7.15.1082	E7	TE	TE	TE	0.986503845244472	14.3193089335202	7.29959630966187	-0.110071577131748
E7.15.1083	E7	TE	TE	TE	0.901761477932799	14.3352020000336	7.38665199279785	-0.0116136632859707
E7.15.1087	E7	TE	TE	TE	0.988064834930269	14.1905735234647	6.94334936141968	-0.52915370464325
E7.15.1090	E7	TE	TE	TE	0.990047207017173	14.1905735234647	6.84971618652344	-0.403450727462769
E7.15.1094	E7	TE	TE	TE	0.989924124025933	14.1492244215946	7.51024150848389	-0.452956438064575
E7.15.1096	E7	TE	TE	TE	0.98250104152039	14.2992386485361	7.19969034194946	-0.310428112745285
E7.15.1098	E7	TE	TE	TE	0.993695732210664	13.9692167937419	8.00112819671631	-1.33968615531921
E7.15.1100	E7	TE	TE	TE	0.994368793550051	14.3139294968713	7.18055391311646	-0.101840429008007
E7.16.1102	E7	TE	TE	TE	0.997273194936886	16.0555778882166	6.1474232673645	3.18918037414551
E7.16.1103	E7	TE	TE	TE	0.988101116264618	15.3245565314645	7.04874467849731	1.85137021541595
E7.16.1104	E7	TE	TE	TE	0.984391520476675	15.2204211046027	6.94240045547485	1.71898114681244
E7.16.1105	E7	TE	TE	TE	0.9851034369911	14.438138377508	8.11039543151855	0.316600382328033
E7.16.1106	E7	TE	TE	TE	0.986050070929671	15.0521449613085	7.53854846954346	1.37858891487122
E7.16.1107	E7	TE	TE	TE	0.973442390516304	15.3998506180332	7.14883375167847	2.12653112411499
E7.16.1108	E7	TE	TE	TE	0.987346092519338	15.3094722886213	7.32648706436157	1.78241407871246
E7.16.1109	E7	TE	TE	TE	0.98458039131202	15.3371785450595	7.23797512054443	2.02149248123169
E7.16.1110	E7	TE	TE	TE	0.84074103800523	16.0945352790425	6.03228235244751	3.47492980957031
E7.16.1111	E7	TE	TE	TE	0.95725946890938	15.4351830024107	7.25496292114258	2.24168920516968
E7.16.1112	E7	TE	TE	TE	0.957316402445022	15.6678877053155	6.90591382980347	2.52539324760437
E7.16.1113	E7	TE	TE	TE	0.954955019995942	15.4013410058871	7.23334646224976	2.31146597862244
E7.16.1114	E7	TE	TE	TE	0.947885437580626	15.8509314043654	6.54799461364746	2.8506395816803
E7.16.1115	E7	TE	TE	TE	0.976162243588365	15.5526390807318	6.78011703491211	2.21822285652161
E7.16.1116	E7	TE	TE	TE	0.985716970810802	15.3498881854099	6.80447769165039	1.84746158123016
E7.16.1118	E7	TE	TE	TE	0.988529811145401	15.5489433103563	6.88235950469971	2.31165385246277
E7.16.1119	E7	TE	TE	TE	0.972003331854058	15.5090949325984	6.9777398109436	2.34085488319397
E7.16.1120	E7	TE	TE	TE	0.98786092968764	15.5489433103563	7.00239610671997	2.19281625747681
E7.16.1121	E7	TE	TE	TE	0.986986145013122	15.2193717421432	7.28974485397339	1.95552134513855
E7.16.1122	E7	TE	TE	TE	0.986012113900288	15.5380784501854	7.05265045166016	2.38206577301025
E7.16.1123	E7	TE	TE	TE	0.981189709386803	15.7377172511092	6.75890159606934	2.72042870521545
